,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
0,,adidas,Yeezy Slides,Onyx/Onyx/Onyx,New,CN,product,standard,1.0,men,Onyx,sneakers,2022-03-07,False,True,60.0,adidas Yeezy Slide,adidas-Yeezy-Slide-Black,HQ6448,adidas Yeezy Slide Onyx,144.0,4.0,1258.0,1,226.0,232.0,275.0,14.0,448.0,1,575.0,57.0,153,217,0.174125,119518.0,2.083,149.0,185.0,7.0,226.0,-51,-0.216102,0.216102,17770028.0,1677181025,1677413551,2023-02-26T18:21:33Z,0,52,89
1,,adidas,adidas Yeezy,Copper Fade/Copper Fade/Copper Fade,New,CN,product,standard,1.0,men,Copper Fade,sneakers,2021-12-10,True,True,200.0,adidas Yeezy 700 V3,adidas-Yeezy-700-V3-Copper-Fade,GY4109,adidas Yeezy 700 V3 Copper Fade,174.0,5.5,467.0,1,22.0,10.0,199.0,12.0,163.0,1,379.0,111.0,185,226,0.0,2875.0,-0.051,205.0,190.0,12.5,22.0,4,0.020861,0.020861,590654.0,1676946461,1677252231,2023-02-24T14:57:10Z,42,86,18
2,,adidas,adidas Yeezy,Ash Grey/Ash Grey/Ash Grey,New,CN,product,standard,1.0,men,Ash Grey,sneakers,2021-12-04,False,True,200.0,adidas Yeezy 500,adidas-Yeezy-500-Ash-Grey,GX3607,adidas Yeezy 500 Ash Grey,235.0,9.5,366.0,1,10.0,8.0,245.0,8.5,182.0,1,370.0,130.0,230,278,0.094568,2240.0,0.27,242.0,254.0,6.0,10.0,44,0.209524,0.209524,541689.0,1677414871,1677076742,2023-02-26T02:49:23Z,81,45,80
3,,adidas,adidas Yeezy,Metallic/Metallic/Metallic,New,CN,product,standard,1.0,men,Metallic,sneakers,2021-12-20,False,True,220.0,adidas Yeezy Boost 700 MNVN,adidas-Yeezy-Boost-700-MNVN-Metallic,GW9524,adidas Yeezy Boost 700 MNVN Metallic,226.0,9.0,157.0,1,6.0,5.0,220.0,12.0,111.0,1,399.0,63.0,124,198,0.228627,1613.0,-0.268,243.0,161.0,14.0,6.0,-27,-0.146731,0.146731,391878.0,1676866677,1677014305,2023-02-23T00:46:51Z,49,75,47
4,,adidas,adidas Yeezy,Enflame Amber/Orange,New,CN,product,standard,1.0,men,Enflame Amber,sneakers,2021-06-11,False,True,240.0,adidas Yeezy Boost 700,adidas-Yeezy-Boost-700-Enflame-Amber,GW0297,adidas Yeezy Boost 700 Enflame Amber,258.0,9.0,391.0,1,3.0,7.0,302.0,7.0,155.0,1,580.0,180.0,231,289,0.11129,1656.0,0.083,298.0,260.0,8.5,3.0,-45,-0.147541,0.147541,493982.0,1677429009,1676726722,2023-02-26T12:59:51Z,46,51,61
5,,adidas,adidas Yeezy,Slate Blue/Slate Blue/Slate Blue,New,CN,product,standard,1.0,men,Slate Blue,sneakers,2021-12-18,True,True,300.0,adidas Yeezy BSKTBL Knit,adidas-YZY-BSKTBL-KNIT-3D-Slate-Blue,GV8294,adidas Yeezy BSKTBL Knit Slate Blue,119.0,7.5,160.0,1,2.0,3.0,130.0,11.5,104.0,1,540.0,61.0,41,119,0.482463,356.0,-0.733,189.0,80.0,7.5,2.0,-69,-0.463087,0.463087,67116.0,1676965853,1676955274,2023-02-19T16:55:06Z,37,5,23
7,,adidas,adidas Yeezy,Hylte/Hylte/Hylte,New,CN,product,standard,1.0,men,Hylte,sneakers,2020-12-12,True,True,230.0,adidas Yeezy Boost 380,adidas-Yeezy-Boost-380-Hylte-Glow-Reflective,FZ4990,adidas Yeezy Boost 380 Hylte,150.0,6.0,235.0,1,0.0,3.0,147.0,14.0,129.0,1,293.0,68.0,150,183,0.0,298.0,-0.478,166.0,120.0,11.0,0.0,-55,-0.314286,0.314286,49487.0,1676878322,1676648832,2023-02-22T03:39:02Z,54,41,10
8,,adidas,adidas Yeezy,Static/Static/Static,New,CN,product,standard,1.0,infant,Static (Infants),sneakers,2022-08-02,True,True,160.0,adidas Yeezy Boost 700 V2,adidas-Yeezy-Boost-700-V2-Static-Infants,HQ6967,adidas Yeezy Boost 700 V2 Static (Infants),130.0,,119.0,1,0.0,0.0,120.0,,32.0,1,243.0,60.0,173,209,0.093983,125.0,0.197,158.0,192.0,,0.0,24,0.139625,0.139625,19789.0,1676941425,1677441578,2023-02-20T22:16:55Z,76,84,95
11,,adidas,adidas Yeezy,Yeshaya/Yeshaya/Yeshaya,New,CN,product,standard,1.0,preschool,Yeshaya (Kids),sneakers,2020-01-25,False,True,160.0,adidas Yeezy Boost 350 V2,adidas-Yeezy-Boost-350-V2-Yeshaya-Kids,FX4351,adidas Yeezy Boost 350 V2 Yeshaya (Kids),220.0,1.0,28.0,1,0.0,0.0,181.0,3.5,29.0,1,546.0,185.0,328,478,0.185785,23.0,1.519,295.0,403.0,3.0,0.0,180,0.807175,0.807175,6784.0,1676265438,1674369108,2023-01-11T10:48:54Z,72,20,43
12,,Nike,Nike Other Premium,Red,New,CN,product,standard,1.0,men,Red October,sneakers,2014-02-09,False,True,250.0,Nike Air Yeezy 2,Nike-Air-Yeezy-2-Red-October,508214-660,Nike Air Yeezy 2 Red October,14500.0,13.0,48.0,1,0.0,0.0,8888.0,11.0,112.0,1,26216.0,9995.0,6201,15799,0.436283,13.0,43.0,16355.0,11000.0,14.0,0.0,-4000,-0.266667,0.266667,212613.0,1677250502,1677248503,2023-01-26T18:40:18Z,30,39,56
13,,Nike,Nike Other Premium,Net/Net,New,CN,product,standard,1.0,men,Net Tan,sneakers,2009-04-04,False,True,250.0,Nike Air Yeezy 1,Nike-Air-Yeezy-1-Net-Net-Tan,366164-111,Nike Air Yeezy 1 Net Tan,3500.0,9.5,25.0,1,0.0,0.0,4500.0,11.5,62.0,1,5951.0,2300.0,788,5612,0.753888,8.0,11.8,3631.0,3200.0,11.5,0.0,300,0.103448,0.103448,29050.0,1677138958,1677135863,2022-12-20T14:57:34Z,41,90,96
14,,adidas,adidas NMD,Cloud White/Cloud White/Light Purple,New,VN,product,standard,1.0,men,White Light Purple,sneakers,2022-12-15,True,True,180.0,adidas NMD S1,adidas-NMD-S1-White-Light-Purple,HP5522,adidas NMD S1 White Light Purple,109.0,11.5,189.0,1,12.0,6.0,110.0,8.5,85.0,1,229.0,25.0,107,133,0.105474,245.0,-0.333,128.0,120.0,9.0,12.0,0,0,0,31293.0,1677309028,1677299333,2023-02-25T03:45:37Z,27,22,99
15,,adidas,adidas NMD,Auburn/Auburn/Simple Brown,New,CN,product,standard,1.0,men,Pharrell Chocolate,sneakers,2020-12-15,True,False,220.0,adidas NMD Hu,adidas-NMD-Hu-Pharrell-Chocolate,GY0090,adidas NMD Hu Pharrell Chocolate,91.0,6.5,160.0,1,1.0,1.0,150.0,11.0,75.0,1,291.0,75.0,130,184,0.16897,260.0,-0.286,152.0,157.0,11.5,1.0,-31,-0.166074,0.166074,39493.0,1677250342,1677311887,2023-02-24T01:35:01Z,48,33,88
16,,adidas,adidas NMD,Core Black/Core Black/Core Black,New,CN,product,standard,1.0,men,Pharrell Black Future,sneakers,2020-12-12,True,False,150.0,adidas NMD R1,adidas-NMD-R1-Pharrell-Black-Future,GY4977,adidas NMD R1 Pharrell Black Future,90.0,8.0,59.0,1,0.0,0.0,100.0,14.0,20.0,1,169.0,65.0,60,106,0.280261,158.0,-0.447,96.0,83.0,8.0,0.0,-11,-0.117021,0.117021,15120.0,1672982941,1674935322,2023-02-05T06:32:22Z,8,49,84
17,,adidas,adidas NMD,Core Black/Bold Pink/Bold Aqua,New,CN,product,standard,1.0,men,Tokyo Nights,sneakers,2020-07-24,False,True,140.0,adidas NMD R1 V2,adidas-NMD-R1-V2-Tokyo-Nights,FY1251,adidas NMD R1 V2 Tokyo Nights,158.0,9.5,11.0,1,0.0,0.0,82.0,10.0,19.0,1,237.0,37.0,110,160,0.18247,73.0,-0.036,149.0,135.0,11.0,0.0,-50,-0.272194,0.272194,10886.0,1676649579,1669618925,2023-02-16T00:20:11Z,49,37,68
18,,adidas,adidas NMD,Supplier Colour/Cloud White/Supplier Colour,New,CN,product,standard,1.0,women,Blue Pink (W),sneakers,2022-04-03,True,False,150.0,adidas NMD R1,adidas-NMD-R1-Blue-Pink-W,GV9185,adidas NMD R1 Blue Pink (W),88.0,,32.0,1,0.0,0.0,70.0,,1.0,1,119.0,70.0,88,102,0.072944,42.0,-0.367,92.0,95.0,,0.0,7,0.079545,0.079545,3859.0,1674967919,1672356801,2023-01-24T22:40:30Z,16,11,84
19,,adidas,adidas NMD,Cloud White/Sonic Aqua/Cloud White,New,VN,product,standard,1.0,men,White Color Splash,sneakers,2021-06-25,True,False,140.0,adidas NMD R1,adidas-NMD-R1-White-Color-Splash,GZ7921,adidas NMD R1 White Color Splash,79.0,11.5,57.0,1,0.0,0.0,55.0,9.5,9.0,1,140.0,75.0,81,99,0.104342,32.0,-0.357,97.0,90.0,12.0,0.0,-2,-0.021739,0.021739,3100.0,1677029138,1676770426,2023-01-26T22:55:09Z,75,82,4
20,,adidas,adidas NMD,Core Black/Cloud White/Grey One,New,VN,product,standard,1.0,men,Black White Stitch,sneakers,2021-06-01,True,True,140.0,adidas NMD R1,adidas-NMD-R1-Black-White-Stitch,GX0540,adidas NMD R1 Black White Stitch,119.0,10.0,23.0,1,0.0,0.0,0.0,,0.0,0,294.0,37.0,100,226,0.384845,23.0,0.166,136.0,164.0,9.0,0.0,24,0.16581,0.16581,3127.0,1677366208,0,2023-02-03T14:53:48Z,56,79,52
21,,adidas,adidas NMD,Grey/Grey/White,New,VN,product,standard,1.0,men,Japan Boost Grey,sneakers,2016-06-10,True,True,170.0,adidas NMD R1,adidas-NMD-R1-Japan-Boost-Grey,S81849,adidas NMD R1 Japan Boost Grey,152.0,12.0,39.0,1,0.0,0.0,106.0,12.0,20.0,1,381.0,80.0,140,290,0.348835,19.0,0.265,198.0,215.0,11.0,0.0,-122,-0.363634,0.363634,3754.0,1677256461,1676377242,2023-02-09T23:23:40Z,52,54,24
22,,adidas,adidas NMD,Core Black/Core Black/ Cloud Whte,New,VN,product,standard,1.0,child,Star Wars (GS),sneakers,2021-04-30,True,False,120.0,adidas NMD R1,adidas-NMD-R1-Star-Wars-GS,FX6503,adidas NMD R1 Star Wars (GS),77.0,,16.0,1,0.0,0.0,20.0,,1.0,1,179.0,63.0,81,99,0.0,15.0,-0.183,92.0,98.0,,0.0,20,0.25641,0.25641,1385.0,1675558994,1677218190,2023-02-05T21:06:10Z,78,59,46
23,,adidas,adidas NMD,Core Black/Grey Four/Solar Pink,New,CN,product,standard,1.0,men,STLT Black Grey Solar Pink,sneakers,2018-01-04,True,True,170.0,adidas NMD R1,adidas-NMD-R1-STLT-Black-Grey,CQ2386,adidas NMD R1 STLT Black Grey Solar Pink,112.0,10.0,30.0,1,0.0,0.0,85.0,11.0,10.0,1,165.0,70.0,109,161,0.196177,12.0,-0.206,102.0,135.0,7.0,0.0,34,0.336634,0.336634,1226.0,1676677345,1674119950,2022-12-13T05:15:37Z,17,80,64
24,,adidas,adidas NMD,Crystal White/Crystal White/Collegiate Navy,New,CN,product,standard,1.0,men,Label Pack Crystal White,sneakers,2020-12-01,False,True,140.0,adidas NMD R1,adidas-NMD-R1-Label-Pack-Crystal-White,FX6795,adidas NMD R1 Label Pack Crystal White,145.0,12.0,19.0,1,0.0,0.0,58.0,11.0,13.0,1,248.0,95.0,95,179,0.307733,10.0,-0.021,137.0,137.0,13.0,0.0,31,0.28741,0.28741,1366.0,1676746253,1661196282,2023-01-05T16:42:40Z,96,78,86
25,,adidas,adidas NMD,Solar Yellow/Solar Yellow/Core Black,New,VN,product,standard,1.0,men,Solar Yellow Core Black,sneakers,2022-09-10,True,False,160.0,adidas NMD V3,adidas-NMD-V3-Solar-Yellow-Core-Black,HQ3969,adidas NMD V3 Solar Yellow Core Black,85.0,9.0,104.0,1,0.0,0.0,50.0,13.0,24.0,1,351.0,80.0,9,171,0.894541,8.0,-0.438,139.0,90.0,11.0,0.0,-53,-0.370629,0.370629,1111.0,1677376942,1675462718,2023-02-19T22:55:08Z,29,44,62
26,,adidas,adidas NMD,Core Black/Cloud White/Clear Pink,New,CN,product,standard,1.0,women,Core Black Clear Pink (W),sneakers,2018-08-01,False,True,130.0,adidas NMD R1,adidas-NMD-R1-Core-Black-Clear-Pink-W,B37649,adidas NMD R1 Core Black Clear Pink (W),153.0,5.5,6.0,1,0.0,0.0,98.0,6.0,12.0,1,213.0,100.0,122,180,0.189136,6.0,0.162,161.0,151.0,5.0,0.0,-20,-0.116959,0.116959,963.0,1677412567,1676644051,2022-10-05T00:06:39Z,87,15,92
27,,adidas,adidas NMD,Grey Three / Grey Three / Grey Five,New,VN,product,standard,1.0,men,Grey Three Grey Boost,sneakers,2022-07-25,True,False,150.0,adidas NMD R1,adidas-NMD-R1-Grey-Three-Grey-Boost,GX9524,adidas NMD R1 Grey Three Grey Boost,75.0,13.0,75.0,1,0.0,0.0,50.0,9.5,2.0,1,108.0,69.0,83,117,0.16504,5.0,-0.333,88.0,100.0,10.5,0.0,31,0.449275,0.449275,441.0,1677111608,1676770677,2023-02-12T14:59:17Z,43,3,65
28,,adidas,adidas NMD,Collegiate Burgundy/Corn Gold/Crystal White,New,CN,product,standard,1.0,men,SNS Class of 99 Burgundy,sneakers,2017-10-28,False,True,179.0,adidas NMD CS2,adidas-NMD-CS2-SNS-Class-Of-99-Burgundy,CQ1870,adidas NMD CS2 SNS Class of 99 Burgundy,225.0,4.5,3.0,1,0.0,0.0,96.0,6.5,18.0,1,228.0,115.0,174,253,0.184788,4.0,0.193,184.0,214.0,10.0,0.0,-14,-0.063082,0.063082,737.0,1676751363,1675745865,2022-10-29T15:08:32Z,97,38,13
29,,adidas,adidas NMD,Solar Pink/Solar Pink/Core Black,New,CN,product,standard,1.0,men,Solar Pink,sneakers,2018-02-01,True,True,180.0,adidas NMD Racer,adidas-NMD-Racer-Solar-Pink,CQ2442,adidas NMD Racer Solar Pink,135.0,9.5,5.0,1,0.0,0.0,45.0,11.0,8.0,1,104.0,85.0,86,114,0.142916,3.0,-0.444,96.0,100.0,10.5,0.0,-4,-0.038462,0.038462,289.0,1676579448,1661200186,2022-09-03T00:12:13Z,26,4,21
30,,adidas,adidas NMD,Tech Earth/Tech Earth/White,New,VN,product,standard,25.0,men,R1 Tech Earth,sneakers,2016-10-01,False,True,140.0,adidas NMD R1,adidas-NMD-R1-Tech-Earth,S81881,adidas NMD R1 R1 Tech Earth,165.0,10.0,7.0,1,0.0,0.0,125.0,6.0,11.0,1,125.0,96.0,60,132,0.372025,3.0,-0.314,107.0,96.0,11.0,0.0,-29,-0.232,0.232,321.0,1677111530,-62135596800,2022-08-25T05:25:07Z,46,1,27
31,,adidas,adidas NMD,Cloud White/Hazy Orange/Hi-Res Yellow,New,CN,product,standard,25.0,child,Watercolor (GS),sneakers,2021-05-02,True,False,120.0,adidas NMD R1,adidas-NMD-R1-Watercolor-GS,GX5402,adidas NMD R1 Watercolor (GS),99.0,,1.0,1,0.0,0.0,32.0,,2.0,1,100.0,55.0,16,94,0.713652,2.0,-0.542,78.0,55.0,,0.0,-45,-0.45,0.45,155.0,1676772445,1660930131,2022-05-03T04:42:58Z,67,24,89
32,,adidas,adidas NMD,Night Cargo/Base Green/Semi Frozen Yellow,New,CN,product,standard,1.0,men,Night Cargo Base Green,sneakers,2018-03-01,True,True,130.0,adidas NMD R1,adidas-NMD-R1-Night-Cargo-Base-Green,CQ2414,adidas NMD R1 Night Cargo Base Green,125.0,10.0,8.0,1,0.0,0.0,53.0,10.5,4.0,1,150.0,100.0,188,312,0.249444,2.0,0.923,125.0,250.0,10.5,0.0,100,0.666667,0.666667,250.0,1675342291,1649872314,2023-02-01T19:05:45Z,21,88,43
33,,adidas,adidas NMD,Cloud White / Cloud White / Grey One,New,VN,product,standard,1.0,men,White Grey Boost,sneakers,2022-07-02,True,False,150.0,adidas NMD R1,adidas-NMD-R1-White-Grey-Boost,GX9525,adidas NMD R1 White Grey Boost,65.0,9.5,97.0,1,0.0,0.0,16.0,9.5,1.0,1,115.0,115.0,92,108,0.075,1.0,-0.333,115.0,100.0,9.0,0.0,-15,-0.130435,0.130435,115.0,1677351562,1677255721,2023-02-10T22:27:55Z,97,14,71
34,,adidas,adidas NMD,Legacy Green-Legacy Green/Core Black,New,VN,product,standard,25.0,men,Legacy Green,sneakers,,False,True,130.0,adidas NMD R1,adidas-NMD-R1-Legacy-Green,FW6415,adidas NMD R1 Legacy Green,225.0,8.0,3.0,1,0.0,0.0,100.0,8.5,2.0,1,265.0,265.0,172,358,0.349057,1.0,1.038,265.0,265.0,9.5,0.0,185,2.3125,2.3125,265.0,1677439509,1675031257,2022-03-22T21:41:23Z,33,17,52
35,,adidas,adidas NMD,Grey Two/Grey Two/Core Black,New,CN,product,standard,25.0,men,Grey Camo Heel,sneakers,2018-09-01,False,True,130.0,adidas NMD R1,adidas-NMD-R1-Grey-Camo-Heel,B37617,adidas NMD R1 Grey Camo Heel,472.0,9.0,2.0,1,0.0,0.0,47.0,10.5,5.0,1,100.0,100.0,0,0,0.0,1.0,0.0,100.0,100.0,11.0,0.0,-30,-0.230769,0.230769,100.0,1676609568,1676935353,2022-08-21T18:13:46Z,21,32,39
36,,adidas,adidas NMD,Core Blue/Clear Grey/Core Black,New,CN,product,standard,1.0,men,JD Sports Core Blue Black,sneakers,2016-11-25,False,True,150.0,adidas NMD XR1,adidas-NMD-XR1-JD-Sports-Core-Blue-Black,BY9649,adidas NMD XR1 JD Sports Core Blue Black,225.0,7.5,4.0,1,0.0,0.0,84.0,10.5,6.0,1,260.0,260.0,0,0,0.0,1.0,0.0,260.0,260.0,9.0,0.0,152,1.407407,1.407407,260.0,1675607880,1671639614,2022-06-15T11:43:12Z,15,61,70
37,,adidas,adidas NMD,Linen/Vapor Grey/Running White,New,CN,product,standard,1.0,women,Linen Vapor Grey (W),sneakers,2018-03-15,False,True,180.0,adidas NMD CS2,adidas-NMD-CS2-Linen-Vapor-Grey-W,CQ2039,adidas NMD CS2 Linen Vapor Grey (W),1361.0,5.5,1.0,1,0.0,0.0,25.0,10.0,1.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,80.0,8.5,0.0,-10,-0.111111,0.111111,0.0,1677151072,1676935059,2020-06-12T17:33:25Z,89,46,2
38,,Nike,Nike Dunk,White/Black,New,VN,product,standard,1.0,women,White Black Panda (2021) (W),sneakers,2021-03-10,False,True,100.0,Nike Dunk Low Retro,Nike-Dunk-Low-White-Black-2021-W,DD1503-101,Nike Dunk Low Retro White Black Panda (2021) (W),142.0,,3368.0,1,1028.0,1079.0,150.0,,653.0,1,308.0,110.0,137,151,0.049387,105585.0,0.44,184.0,144.0,,1028.0,-12,-0.076923,0.076923,19449153.0,1677332314,1677428425,2023-02-26T23:03:53Z,82,64,16
39,,Nike,Nike Dunk,Black/Grey/White,New,VN,product,standard,1.0,men,Chenille Swoosh Black Grey,sneakers,2022-10-27,False,True,120.0,Nike Dunk Low,Nike-Dunk-Low-Chenille-Swoosh-Black-Grey,DQ7683-001,Nike Dunk Low Chenille Swoosh Black Grey,134.0,10.5,459.0,1,57.0,44.0,130.0,9.0,98.0,1,254.0,91.0,140,154,0.050939,3343.0,0.225,143.0,147.0,11.5,57.0,-8,-0.053128,0.053128,476908.0,1677424094,1677423706,2023-02-26T12:22:25Z,89,56,22
40,,Nike,Nike Dunk,Black/Off Noir/White,New,VN,product,standard,1.0,men,Black White (2022),sneakers,2022-05-01,False,True,100.0,Nike Dunk Low,Nike-Dunk-Low-Black-White-2022,DJ6188-002,Nike Dunk Low Black White (2022),125.0,6.5,342.0,1,32.0,13.0,130.0,10.5,100.0,1,278.0,60.0,140,170,0.098274,8937.0,0.55,132.0,155.0,9.5,32.0,5,0.033333,0.033333,1179535.0,1677429882,1677377018,2023-02-26T16:14:18Z,1,74,67
41,,Nike,Dunk Low,Baltic Blue/Electric Algae/Deep Royal/Laser Orange,New,VN,product,standard,1.0,child,All-Star (2023) (GS),sneakers,2023-02-17,False,False,85.0,Nike Dunk Low,Nike-Dunk-Low-All-Star-2023-GS,DV1693-401,Nike Dunk Low All-Star (2023) (GS),98.0,,174.0,1,19.0,7.0,69.0,,12.0,1,165.0,70.0,101,109,0.03858,45.0,0.235,103.0,105.0,,19.0,0,0,0,4651.0,1677170870,1677269843,2023-02-26T21:47:02Z,30,56,67
