,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
122,,Nike,Air Force One,Limestone/Limestone-Rattan-Summit White,New,VN,product,standard,25.0,men,Limestone,sneakers,,False,False,0.0,"""Nike Air Force 1 Mid '07 LX""",Nike-Air-Force-1-Mid-07-LX-Limestone,DV7585-200,"""Nike Air Force 1 Mid '07 LX Limestone""",94.0,9.5,89.0,1,1.0,2.0,56.0,9.5,16.0,1,216.0,80.0,104,149,0.174967,39.0,0.0,124.0,127.0,12.0,1.0,-1,-0.011041,0.011041,4822.0,1677315462,1676654405,2023-02-24T07:18:07Z,41,44,63
123,,Nike,Air Force One,University Blue/White,New,VN,product,standard,1.0,men,University Blue White,sneakers,2021-10-14,False,True,90.0,"""Nike Air Force 1 Low '07""",Nike-Air-Force-1-Low-07-University-Blue-White,DC2911-400,"""Nike Air Force 1 Low '07 University Blue White""",135.0,10.5,162.0,1,0.0,0.0,126.0,15.0,51.0,1,254.0,72.0,121,187,0.211522,1180.0,0.711,144.0,154.0,12.0,0.0,44,0.4,0.4,170375.0,1677182915,1676675722,2023-02-20T17:28:15Z,54,7,47
124,,Nike,Air Force One,White/University Blue,New,VN,product,standard,1.0,women,University Blue (W),sneakers,2022-03-01,False,True,95.0,Nike Air Force 1 Low Next Nature,Nike-Air-Force-1-Low-Next-Nature-University-Blue-W,DN1430-100,Nike Air Force 1 Low Next Nature University Blue (W),130.0,,51.0,1,0.0,0.0,120.0,,25.0,1,277.0,32.0,147,201,0.1552,364.0,0.832,134.0,174.0,,0.0,36,0.26087,0.26087,48653.0,1676642715,1676162857,2023-02-11T03:30:45Z,3,1,31
125,,Nike,Air Force One,University Blue/White/Deep Royal Blue,New,VN,product,standard,1.0,men,First Use University Blue,sneakers,2021-07-16,False,True,110.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-First-Use-University-Blue,DB3597-400,Nike Air Force 1 Low First Use University Blue,174.0,15.0,51.0,1,0.0,0.0,125.0,10.5,56.0,1,279.0,75.0,168,205,0.0,222.0,0.959,188.0,216.0,9.0,0.0,16,0.077705,0.077705,41774.0,1676649691,1677315504,2023-02-03T13:01:10Z,73,82,38
126,,Nike,Air Force One,Natural/Navy/White-Gum,New,CN,product,standard,1.0,men,Paisley Swoosh,sneakers,2021-10-07,False,True,110.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-Paisley-Swoosh,DJ4631-200,Nike Air Force 1 Low Paisley Swoosh,236.0,12.0,62.0,1,0.0,2.0,205.0,9.0,115.0,1,516.0,153.0,233,321,0.158559,163.0,1.518,263.0,277.0,9.0,0.0,-134,-0.32707,0.32707,42809.0,1676798435,1677370001,2023-02-22T16:59:37Z,83,91,45
127,,Nike,Air Force One,Pearl White/Sail White-Fossil Lime-Pink Oxford-Vine Brown-Black,New,VN,product,standard,1.0,women,Toasty Pink Oxford (W),sneakers,2021-10-08,True,False,110.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-Toasty-Pink-Oxford-W,DH0775-201,Nike Air Force 1 Low Toasty Pink Oxford (W),65.0,,113.0,1,0.0,1.0,59.0,,7.0,1,150.0,25.0,71,91,0.119072,129.0,-0.264,82.0,81.0,,0.0,-11,-0.124931,0.124931,10566.0,1677431331,1675219676,2023-02-21T22:52:28Z,72,56,40
128,,Nike,Air Force One,Barely Green/White/Platinum Violet/Black,New,CN,product,standard,1.0,women,8 Bit Barely Green (W),sneakers,2021-01-28,True,False,120.0,Nike Air Force 1 Low Shadow,Nike-Air-Force-1-Low-Shadow-8-Bit-Barely-Green-W,CV8480-300,Nike Air Force 1 Low Shadow 8 Bit Barely Green (W),92.0,,117.0,1,0.0,2.0,92.0,,52.0,1,184.0,42.0,99,124,0.110736,108.0,-0.069,122.0,112.0,,0.0,-3,-0.027778,0.027778,13172.0,1677061673,1677146679,2023-02-22T20:55:49Z,60,89,28
129,,Nike,Air Force One,White/Solar Red/White/Dark Teal Green,New,VN,product,standard,1.0,women,White Solar Red (W),sneakers,2021-03-09,True,True,110.0,Nike Air Force 1 Low Shadow,Nike-Air-Force-1-Low-Shadow-White-Solar-Red-W,DB3902-100,Nike Air Force 1 Low Shadow White Solar Red (W),103.0,,78.0,1,0.0,0.0,85.0,,34.0,1,227.0,92.0,79,143,0.292323,89.0,0.009,128.0,111.0,,0.0,11,0.11,0.11,11392.0,1677433278,1676694829,2023-02-12T22:03:04Z,47,32,36
130,,Nike,Air Force One,Habanero Red/Habanero Red/White/Black,New,VN,product,standard,1.0,child,Habanero Red (GS),sneakers,2022-01-10,True,False,95.0,Nike Air Force 1 Low Mesh Pocket,Nike-Air-Force-1-Low-Mesh-Pocket-Habanero-Red-GS,DH9596-600,Nike Air Force 1 Low Mesh Pocket Habanero Red (GS),86.0,,40.0,1,0.0,0.0,57.0,,10.0,1,158.0,65.0,63,107,0.256596,73.0,-0.105,91.0,85.0,,0.0,0,0,0,6626.0,1677044102,1676648400,2023-01-23T23:40:49Z,68,99,41
131,,Nike,Air Force One,Black/Black/Black,New,CN,product,standard,1.0,men,Triple Black,sneakers,,False,True,90.0,Nike Air Force 1 Low 07,Nike-Air-Force-1-Low-07-Triple-Black,CW2288-001,Nike Air Force 1 Low 07 Triple Black,106.0,12.5,101.0,1,0.0,3.0,72.0,12.0,16.0,1,192.0,73.0,93,147,0.223463,61.0,0.333,131.0,120.0,13.0,0.0,32,0.357898,0.357898,7966.0,1677045590,1675747993,2023-02-23T00:21:26Z,95,78,91
132,,Nike,Air Force One,White/White-Black-White,New,CN,product,standard,1.0,men,Drew League (2020),sneakers,2020-07-23,False,True,110.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-Drew-League-2020,CZ4272-100,Nike Air Force 1 Low Drew League (2020),120.0,13.0,49.0,1,0.0,0.0,130.0,10.5,75.0,1,280.0,87.0,120,204,0.256898,52.0,0.473,166.0,162.0,9.5,0.0,2,0.0125,0.0125,8626.0,1677135857,1676705381,2023-02-16T12:27:05Z,92,72,8
133,,Nike,Air Force One,White/White/Viotech,New,CN,product,standard,1.0,men,Viotech,sneakers,2021-03-25,False,True,90.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-Viotech,CV1724-105,Nike Air Force 1 Low Viotech,132.0,10.5,66.0,1,0.0,0.0,80.0,9.0,54.0,1,247.0,29.0,128,156,0.0,42.0,0.944,149.0,175.0,10.5,0.0,-11,-0.05987,0.05987,6257.0,1676571514,1676669367,2022-12-23T23:17:33Z,9,77,18
134,,Nike,Air Force One,Black/Black,New,CN,product,standard,1.0,men,Alyx Black (2020),sneakers,2020-01-16,True,True,400.0,Nike Air Force 1 High,Nike-Air-Force-1-High-Alyx-Black-2020,CQ4018-001,Nike Air Force 1 High Alyx Black (2020),268.0,6.5,47.0,1,0.0,0.0,209.0,6.5,70.0,1,721.0,170.0,58,408,0.750515,38.0,-0.418,312.0,233.0,6.0,0.0,-488,-0.676985,0.676985,11864.0,1676196145,1676737653,2023-02-01T05:11:13Z,28,53,49
135,,Nike,Air Force One,White/Yellow Strike,New,VN,product,standard,1.0,men,Lyrical Lemonade,sneakers,2022-09-29,False,True,150.0,Nike Air Force 1 Low,Nike-Air-Force-1-Low-Lyrical-Lemonade,,Nike Air Force 1 Low Lyrical Lemonade,443.0,10.5,6.0,1,0.0,0.0,400.0,11.0,48.0,1,976.0,300.0,511,833,0.239991,32.0,3.48,464.0,672.0,7.0,0.0,25,0.03864,0.03864,14847.0,1677149050,1675373056,2023-02-16T02:17:22Z,37,56,95
136,,Nike,Air Force One,Team Red/Sail-Pink Blast,New,CN,product,standard,1.0,men,Emotionally Unavailable,sneakers,2019-03-14,True,True,160.0,Nike Air Force 1 High,Nike-Air-Force-1-High-Emotionally-Unavailable,AV5840-600,Nike Air Force 1 High Emotionally Unavailable,145.0,11.5,61.0,1,0.0,0.0,151.0,12.5,69.0,1,217.0,99.0,109,191,0.2743,29.0,-0.063,145.0,150.0,5.0,0.0,-66,-0.307314,0.307314,4196.0,1677425921,1677362501,2023-02-20T00:32:10Z,88,48,48
137,,Jordan,Air Jordan One,Varsity Maize/Game Royal/Sail/Black/Fire Red,New,CN,product,standard,1.0,women,Reverse Laney (W),sneakers,2023-02-17,True,True,180.0,Jordan 1 Retro High OG,Air-Jordan-1-Retro-High-OG-Reverse-Laney-W,FD2596-700,Jordan 1 Retro High OG Reverse Laney (W),137.0,,643.0,1,249.0,133.0,236.0,,389.0,1,505.0,100.0,115,189,0.244773,1022.0,-0.156,200.0,152.0,,249.0,17,0.125926,0.125926,204211.0,1677428428,1677397038,2023-02-26T15:04:39Z,58,60,10
138,,Jordan,Air Jordan Twelve,Black/Black-Burgundy Crush,New,CN,product,standard,1.0,women,A Ma Manire Black (W),sneakers,2023-02-24,False,True,225.0,Jordan 12 Retro SP,Air-Jordan-12-Retro-A-Ma-Maniere-Black-W,DV6989-001,Jordan 12 Retro SP A Ma Manire Black (W),279.0,,518.0,1,67.0,12.0,375.0,,259.0,1,450.0,200.0,264,372,0.168929,83.0,0.413,332.0,318.0,,67.0,-32,-0.091429,0.091429,27521.0,1677412239,1677255007,2023-02-26T15:45:30Z,57,60,2
139,,Jordan,Air Jordan Thirteen,White/University Blue-Neutral Grey,New,CN,product,standard,1.0,men,SoleFly,sneakers,2022-12-02,True,True,200.0,Jordan 13 Retro,Air-Jordan-13-Retro-SoleFly,DX5763-100,Jordan 13 Retro SoleFly,190.0,4.0,457.0,1,39.0,31.0,340.0,14.0,256.0,1,537.0,148.0,170,244,0.178428,1597.0,0.037,249.0,208.0,13.0,39.0,29,0.158345,0.158345,398440.0,1677049667,1677283116,2023-02-26T22:26:37Z,71,60,92
140,,Jordan,Air Jordan One,Sail/Light Bone/College Grey/Black,New,CN,product,standard,1.0,men,Gore-Tex Light Bone,sneakers,2021-12-16,True,True,200.0,Jordan 1 High Element,Air-Jordan-1-High-Element-Gore-Tex-Light-Bone,DB2889-100,Jordan 1 High Element Gore-Tex Light Bone,180.0,7.5,458.0,1,27.0,26.0,280.0,6.5,212.0,1,399.0,99.0,239,309,0.128565,7819.0,0.37,232.0,274.0,12.0,27.0,16,0.062016,0.062016,1814508.0,1677413492,1677076231,2023-02-25T23:54:35Z,30,17,10
141,,Jordan,Air Jordan One,White/Red/Black,New,VN,product,standard,1.0,women,Reverse Black Toe (W),sneakers,2022-10-19,True,False,110.0,Jordan 1 Low,Air-Jordan-1-Low-Reverse-Black-Toe-W,DC0774-160,Jordan 1 Low Reverse Black Toe (W),79.0,,292.0,1,21.0,18.0,105.0,,100.0,1,196.0,61.0,84,104,0.104369,818.0,-0.145,107.0,94.0,,21.0,10,0.119048,0.119048,87277.0,1677144433,1677368947,2023-02-25T22:56:59Z,40,68,78
142,,Jordan,Air Jordan One,Black/Sail-Roma Green-Chile Red,New,VN,product,standard,1.0,men,Siempre Familia,sneakers,2021-10-29,True,False,150.0,Jordan 1 Mid SE,Air-Jordan-1-Mid-SE-SiEMPRE-Familia,DN4904-001,Jordan 1 Mid SE Siempre Familia,99.0,4.5,301.0,1,17.0,11.0,160.0,15.0,170.0,1,344.0,71.0,122,158,0.131657,2753.0,-0.067,137.0,140.0,10.0,17.0,4,0.029412,0.029412,378265.0,1677368363,1675791330,2023-02-25T21:35:37Z,48,44,81
143,,Jordan,Air Jordan One,Light Smoke Grey/White/Gym Red,New,CN,product,standard,1.0,men,Light Smoke Grey Gym Red,sneakers,2021-11-10,False,True,110.0,Jordan 1 Low SE,Air-Jordan-1-Low-Light-Smoke-Grey-Gym-Red,DC6991-016,Jordan 1 Low SE Light Smoke Grey Gym Red,137.0,7.5,359.0,1,14.0,17.0,200.0,14.0,143.0,1,258.0,66.0,142,168,0.080745,4820.0,0.409,155.0,155.0,13.0,14.0,-20,-0.114286,0.114286,745371.0,1677155485,1677445575,2023-02-26T12:44:11Z,72,67,87
144,,Jordan,Air Jordan One,Burnt Sunrise/Midnight Navy-White-Metallic Gold,New,CN,product,standard,1.0,unisex,Eastside Golf Out of the Mud,sneakers,2022-11-18,True,True,200.0,Jordan 1 Retro High Golf,Air-Jordan-1-Retro-High-Golf-Eastside-Golf-Out-of-the-Mud,DZ4523-800,Jordan 1 Retro High Golf Eastside Golf Out of the Mud,196.0,5.5,196.0,1,12.0,4.0,385.0,13.0,157.0,1,599.0,175.0,186,282,0.203578,757.0,0.17,310.0,234.0,6.5,12.0,57,0.322034,0.322034,234708.0,1677281200,1677343204,2023-02-25T14:58:06Z,52,20,58
145,,Jordan,Air Jordan Thirteen,Black/Varsity Red-White-Vibrant Yellow,New,ID,product,standard,1.0,toddler,Playoffs (2023) (TD),sneakers,2023-02-18,False,False,65.0,Jordan 13 Retro,Air-Jordan-13-Retro-Playoffs-2023-TD,DJ3004-062,Jordan 13 Retro Playoffs (2023) (TD),75.0,,66.0,1,10.0,10.0,65.0,,24.0,1,129.0,40.0,59,91,0.217721,41.0,0.154,75.0,75.0,,10.0,15,0.25,0.25,3087.0,1677388304,1676979101,2023-02-26T02:45:32Z,0,14,60
146,,Jordan,Air Jordan One,Black/Gym Red-White-Sail,New,CN,product,standard,1.0,men,Black Gym Red,sneakers,2019-06-29,False,True,160.0,Jordan 1 Retro High,Air-Jordan-1-Retro-High-Black-Gym-Red,555088-061,Jordan 1 Retro High Black Gym Red,210.0,9.0,422.0,1,8.0,8.0,233.0,12.0,179.0,1,432.0,170.0,178,240,0.150323,879.0,0.306,267.0,209.0,9.0,8.0,-57,-0.214286,0.214286,234516.0,1677264809,1677409323,2023-02-26T03:26:46Z,19,56,45
147,,Jordan,Air Jordan One,Taxi/Black-Sail,New,ID,product,standard,1.0,child,Taxi (PS),sneakers,2022-08-13,True,False,60.0,Jordan 1 Retro High OG,Air-Jordan-1-Retro-High-OG-Yellow-Toe-PS,AQ2664-711,Jordan 1 Retro High OG Taxi (PS),54.0,,220.0,1,7.0,3.0,100.0,,54.0,1,172.0,55.0,69,91,0.140768,875.0,0.333,89.0,80.0,,7.0,10,0.142857,0.142857,78291.0,1677421359,1677416177,2023-02-25T23:22:40Z,62,83,67
148,,Jordan,Air Jordan One,Black/White,New,CN,product,standard,1.0,men,SE All-Star (2021),sneakers,2021-09-20,False,True,90.0,Jordan 1 Low,Air-Jordan-1-Low-SE-All-Star-2021,DD1650-001,Jordan 1 Low SE All-Star (2021),259.0,8.0,171.0,1,6.0,6.0,325.0,13.0,161.0,1,880.0,150.0,252,302,0.091002,1558.0,2.078,275.0,278.0,8.0,6.0,19,0.069722,0.069722,428682.0,1677416218,1677409608,2023-02-26T09:16:23Z,40,99,18
149,,Jordan,Air Jordan One,Blue/Denim/White,New,VN,product,standard,1.0,child,Washed Denim (GS),sneakers,2022-02-01,False,False,80.0,Jordan 1 Low,Air-Jordan-1-Low-Washed-Denim-GS,DM8947-100,Jordan 1 Low Washed Denim (GS),82.0,,268.0,1,5.0,8.0,91.0,,72.0,1,225.0,65.0,98,124,0.11512,2989.0,0.388,107.0,111.0,,5.0,14,0.14433,0.14433,320851.0,1677420500,1677234880,2023-02-26T07:34:10Z,95,73,73
150,,Jordan,Air Jordan One,Fossil Stone/Fossil Rose/Psychic Purple/White,New,CN,product,standard,1.0,men,Fossil Stone,sneakers,2022-07-22,True,True,135.0,Jordan 1 High Zoom Air CMFT,Air-Jordan-1-High-Zoom-Air-CMFT-Fossil-Stone,CT0978-201,Jordan 1 High Zoom Air CMFT Fossil Stone,105.0,9.5,217.0,1,5.0,1.0,165.0,14.0,72.0,1,231.0,75.0,91,119,0.130893,558.0,-0.222,126.0,105.0,9.5,5.0,-45,-0.3,0.3,70584.0,1677413382,1677329061,2023-02-26T06:48:36Z,35,97,62
151,,Jordan,Air Jordan One,Celestine Blue/Sail-Navy,New,ID,product,standard,1.0,men,Celestine Blue,sneakers,2022-02-01,False,True,140.0,Jordan 1 High Zoom Air CMFT,Air-Jordan-1-High-Zoom-Air-CMFT-Celestine-Blue,DQ5091-041,Jordan 1 High Zoom Air CMFT Celestine Blue,245.0,8.0,42.0,1,4.0,0.0,335.0,11.5,65.0,1,566.0,158.0,253,359,0.172822,1181.0,1.189,239.0,307.0,11.0,4.0,48,0.1831,0.1831,282577.0,1677173180,1677353182,2023-02-26T02:16:38Z,63,98,46
152,,Jordan,Air Jordan Other,Black/Metallic Silver-Signal Blue-Siren Red-Green Glow,New,VN,product,standard,1.0,men,University Red,sneakers,2022-12-19,True,False,110.0,Jordan Luka 1,Air-Jordan-Luka-1-University-Red,DN1772-676/DN1771-676,Jordan Luka 1 University Red,86.0,10.5,179.0,1,4.0,9.0,90.0,13.0,82.0,1,303.0,47.0,73,103,0.172969,375.0,-0.2,136.0,88.0,11.5,4.0,-13,-0.128713,0.128713,50907.0,1677448707,1677145476,2023-02-26T16:31:02Z,23,89,99
153,,Jordan,Air Jordan One,Turf Orange/Black-White,New,VN,product,standard,1.0,child,Turf Orange (GS),sneakers,2021-02-15,True,False,100.0,Jordan 1 Mid,Air-Jordan-1-Mid-Turf-Orange-GS,BQ6931-802,Jordan 1 Mid Turf Orange (GS),88.0,,221.0,1,3.0,3.0,91.0,,46.0,1,175.0,71.0,87,115,0.136984,1182.0,0.01,113.0,101.0,,3.0,-31,-0.235271,0.235271,133612.0,1677248814,1676878877,2023-02-23T16:37:07Z,70,96,15
154,,Jordan,Air Jordan Other,Black/Alpha Orange-Chile Red,New,ID,product,standard,1.0,men,Naruto Nine Tails,sneakers,2022-05-18,True,False,130.0,Jordan Zion 1,Air-Jordan-Zion-1-Naruto-Nine-Tails,DQ4706-086/DQ5569-086,Jordan Zion 1 Naruto Nine Tails,89.0,8.0,108.0,1,3.0,3.0,90.0,10.0,58.0,1,291.0,60.0,175,271,0.216337,293.0,0.715,140.0,223.0,13.0,3.0,91,0.689394,0.689394,40964.0,1677397804,1677409586,2023-02-26T02:00:47Z,68,1,41
155,,Jordan,Air Jordan One,White/Arctic Orange-Black,New,CN,product,standard,1.0,men,Arctic Orange Black Toe,sneakers,2021-05-04,True,True,115.0,Jordan 1 Mid,Air-Jordan-1-Mid-Crimson-Tint-Toe,554724-133,Jordan 1 Mid Arctic Orange Black Toe,106.0,15.0,310.0,1,2.0,9.0,142.0,7.0,123.0,1,312.0,63.0,154,188,0.0,1505.0,0.348,171.0,155.0,11.5,2.0,-2,-0.012739,0.012739,256973.0,1677440930,1677309049,2023-02-25T21:56:18Z,76,32,74
156,,Jordan,Air Jordan Eleven,White/White-Black-Legend Blue,New,CN,product,standard,1.0,preschool,Legend Blue (PS),sneakers,2021-05-07,False,False,80.0,Jordan 11 Retro Low,Air-Jordan-11-Retro-Low-Legend-Blue-PS,505835-117,Jordan 11 Retro Low Legend Blue (PS),85.0,2.0,148.0,1,2.0,2.0,116.0,11.5,32.0,1,235.0,34.0,91,117,0.129091,432.0,0.3,94.0,104.0,11.0,2.0,-6,-0.054545,0.054545,40493.0,1677415408,1677363963,2023-02-25T16:18:50Z,39,80,88
157,,Jordan,Air Jordan Eleven,White/Black-Dark Concord,New,CN,product,standard,1.0,men,Concord (2011),sneakers,2011-12-23,False,True,175.0,Jordan 11 Retro,Air-Jordan-11-Retro-Concord-2011,378037-107,Jordan 11 Retro Concord (2011),375.0,18.0,87.0,1,2.0,7.0,455.0,15.0,79.0,1,600.0,249.0,432,568,0.136787,201.0,1.857,426.0,500.0,11.0,2.0,100,0.25,0.25,85546.0,1676637645,1676276458,2023-02-21T00:13:54Z,44,19,47
158,,Jordan,Air Jordan One,Black/Black/Black,New,VN,product,standard,1.0,preschool,Triple Black Tumbled Leather (PS),sneakers,2020-03-24,False,False,70.0,Jordan 1 Mid,Air-Jordan-1-Mid-Triple-Black-Tumbled-Leather-PS,640734-091,Jordan 1 Mid Triple Black Tumbled Leather (PS),99.0,,12.0,1,2.0,0.0,61.0,,2.0,1,154.0,67.0,58,108,0.296681,84.0,0.186,107.0,83.0,,2.0,-62,-0.427586,0.427586,8996.0,1676670441,1676653667,2023-02-20T03:47:18Z,31,76,14
159,,Jordan,Air Jordan One,Dynamic Yellow/Black-White,New,CN,product,standard,1.0,child,Dynamic Yellow Floral (GS),sneakers,2020-02-13,True,False,100.0,Jordan 1 Mid,Air-Jordan-1-Mid-Dynamic-Yellow-Floral-GS,AV5174-700,Jordan 1 Mid Dynamic Yellow Floral (GS),95.0,,120.0,1,1.0,5.0,120.0,,41.0,1,202.0,75.0,77,133,0.267362,709.0,0.05,129.0,105.0,,1.0,10,0.105263,0.105263,91149.0,1677409476,1677104614,2023-02-26T04:21:35Z,55,98,40
160,,Jordan,Air Jordan Twelve,White/Dark Grey-Gym Red,New,CN,product,standard,1.0,men,White Dark Grey,sneakers,2019-12-02,False,True,190.0,Jordan 12 Retro,Air-Jordan-12-Retro-White-Dark-Grey,130690-160,Jordan 12 Retro White Dark Grey,240.0,8.5,96.0,1,1.0,3.0,300.0,7.0,89.0,1,392.0,110.0,303,379,0.111579,146.0,0.795,285.0,341.0,10.5,1.0,133,0.639423,0.639423,41546.0,1676878784,1676795765,2023-02-24T16:11:14Z,77,19,23
161,,Jordan,Air Jordan Thirteen,Black/Lilac-White,New,ID,product,standard,1.0,child,Houndstooth (GS),sneakers,2021-10-01,True,False,140.0,Jordan 13 Retro,Air-Jordan-13-Retro-Houndstooth-GS,DN3938-015,Jordan 13 Retro Houndstooth (GS),94.0,,101.0,1,1.0,1.0,75.0,,13.0,1,172.0,60.0,74,114,0.215513,215.0,-0.329,124.0,94.0,,1.0,-9,-0.087379,0.087379,26584.0,1677397374,1676117601,2023-02-24T16:06:17Z,49,7,53
